Source (Bikolano),Reference (Tagalog),Base Model Output,Fine-tuned Model Output
si samai iyo an ama ni maon na ama ni betzur,ang anak ni shammai ay si maon at si maon ay ama ni betzur,Si samai iyo an ama ni maon na ama ni betzur,si shammai ang ama ni maon at naging anak ni maon si betzur
nagkaigwa nin kasaroan si caleb na an ngaran efa nagin aki ninda si haran si moza asin si gazez nagkaigwa si haran nin aking lalaki na gazez man an ngaran ,at ipinanganak ni efa na asawanglingkod ni caleb sina haran mosa at gazez at naging anak ni haran si gazez,nagkaigwa nin kasaroan si caleb na isang ngaran efa nagin aki ninda si haran si moza asin si gazez nagkaigwa si haran nin aking lalaki na gazez tao isang ngaran ,naging anak ni efa sina haran mosa at gazez at naging anak ni haran si gazez
sarong lalaki na an ngaran jadai an nagkaigwa nin mga aking lalaki si regem jotam gezan pelet efa asin saaf,ang mga anak ni joddai ay sina regem jotam gesan pelet efa at saaf,Sarong lalaki na isang ngaran jadai na nagkaigwa nin mga aking lalaki si regem jotam gezan pelet efa asin saaf,ang mga anak ni jadai sina regem jotam gezan pelet efa at saaf
nagkaigwa pa nin kasaroan si caleb na an ngaran maaca nagin aki ninda si seber asin si tirhana,ipinanganak ni maaca na asawanglingkod ni caleb sina sebet at tirana,nagkaigwa pa nin kasaroan si caleb na isang ngaran maaca nagin aki ninda si seber asin si tirhana,at ipinanganak ni maaca na asawanglingkod ni caleb sina seber at tirana
nagkaigwa pa sinda nin duwang aking lalaki si saaf na ama ni madmana asin si seva na ama ni macbena saka ni gibea igwa man nin aking babae si caleb na an ngaran acsa,ipinanganak din niya si saaf na ama ni madmana si seva na ama ni macbena at ang ama ni gibea at ang anak na babae ni caleb ay si acsa,nagkaigwa pa sinda nin duwang aking lalaki si safe na ama ni madmana as si seva na ama ni macbena saka ni gibea igwa man nin aking babae si Caleb na isang ngaran acsa,si saaf na ama ni madmana at si seva na ama ni macbena at ni gibea at si acsa na anak na babae ni caleb
iyo pa ini an kapagarakian ni caleb si hur iyo an matuang aking lalaki ni caleb sa agom niyang si efrat si sobal na matuang aking lalaki ni hur iyo an ama ni kiriatjearim,ito ang mga naging anak ni caleb na anak ni hur na panganay ni efrata si sobal na ama ni kiryatjearim,Ako'y isang kapagarakian ni Caleb si hur iyo'y isang matuang aking lalaki ni Caleb sa akong niyang si Efrat si sobal na matuang aking lalaki ni hur iyo'y isang ama ni kiriatjearim,ito ang mga salinlahi ni caleb na anak ni hur na panganay ni efrata na kanyang asawa at naging anak ni sobal si kiryatjearim
an ikaduwa niyang aki na si salma iyo an ama ni betlehem asin an ikatolo niyang aki na si haref iyo an ama ni betgader,si salma na ama ni bethlehem si haref na ama ni betgader,isang ikaduwa niyang aki na si salma at isang ama sa Betlehem bilang isang ikatolo niyang aki na si haref at isang ama sa betgader,si salma ang ama ni bethlehem at si haref ang ama ni betgader
si sobal na ama ni kiriatjearim iyo an ginikanan kan mga nageerok sa haroe kan kabanga kan mga nageerok sa menuhot,at si sobal na ama ni kiryatjearim ay nagkaroon ng iba pang mga anak na lalaki si haroe na kalahati ng mga menuhot,si sobal na ama ni kiriatjearim iyo an ginikanan kan mga nagerok sa haroe kan kabanga kan mga nagerok sa menuhot,si sobal na ama ni kiryatjearim ay siyang ama ng kalahati ng mga menuhotita na naninirahan sa haroe
patin kan mga minasunod na kamaganakan na nagerok sa kiriatjearim an mga itreo mga puteo mga sumateo asin mga misraita mga zoratita saka mga estaolita,at ang mga angkan ni kiryatjearim ang mga itreo mga futeo at ang mga sumateo at ang mga misraiteo mula sa kanila ang mga soratita at mga estaolita,Patin kan mga mga minasunod na kamaganakan na nagerok sa kiriatjearim isang mga mga itreo mga puteo mga mga sumateo as mga misraita mga zoratita saka mga estaolita,ang mga ito ang mga itreo mga puteo mga sumateo mga misraiteo mga zoratita at ang mga estaolita
si salma na ama ni betlehem iyo an ginikanan kan mga nageerok sa netofat sa atrotbetjoab asin kan mga zorita na saro sa duwang kamaganakan nin manahat ,ang mga anak ni salma ang bethlehem ang mga netofatita ang atrotbetjoab at ang kalahati ng mga manahetita ang mga soraita,Si salma na ama ni betlehem at ang mga magulang ni mga migueroc sa netofat sa atrotbetjoab tulad ng mga migueroc sa saro sa duwang kamaganakan nin manahat,ito ang mga anak ni salma na ama ni bethlehem ang mga anak ni netofat ang mga anak ni atrotbetjoab at ang mga anak ni zor ang mga anak ni manahat
iyo man ini an mga kamaganakan kan mga eskriba na nageerok sa jabez an mga tirateo mga simateo asin mga sucateo iyo ini an mga cineo na guminikan ki hamat na ama kan mga recabita,at ang mga angkan ng mga eskriba na naninirahan sa jabez ang mga tirateo mga shimateo at ang mga sucateo ito ang mga kineo na nagmula kay hamat na ama ng sambahayan ni recab,Ito ay isang mga tao ng mga kamaganakan sa mga mga eskriba at nageerok sa Jabez isang mga mga tirateo mga mga simateo tulad ng mga mga sucateo at ito ay isang mga mga sineo at guminikan ki hamat na ama sa mga mga recabita,ang mga ito ang mga angkan ng mga eskriba na naninirahan sa jabez ang mga tirateo ang mga simateo at ang mga sucateo ito ang mga kineo na nagmula kay hamat na ama ng mga recabita
an tolong aking lalaki ni ram na matuang aki ni jerameel iyo si maaz jamin asin eker nagkaigwa pa nin sarong agom si jerameel na an ngaran atara asin si onam iyo an nagin aki ninda,si jerameel ay may iba pang asawa na ang pangalan ay atara siya ang ina ni onam ang mga anak ni ram na panganay ni jerameel ay sina maas jamin at eker,a tolong aking lalaki ni ram na matuang aki ni jerameel iyo si maaz jamin asin eker nagkaigwa pa nin sarong agom si jerameel na an ngaran atara asin si onam iyo an nagin aki ninda,ang mga anak ni ram na panganay ni jerameel ay sina maaz jamin at eker si atara na asawa ni jerameel at si onam na kanyang anak
an anom na ini nagkamurundag sa hebron na pinaghadean niya nin pitong taon may anom na bulan naghade siya sa jerusalem sa laog nin treynta y tres na taon,anim ang ipinanganak sa kanya sa hebron at naghari siya doon ng pitong taon at anim na buwan sa jerusalem ay naghari siya ng tatlumput tatlong taon,isang anom na ini nagkamurundag sa hebreo na pinaghadean niya nin pitong taon may anom na bulan naggade siya sa jerusalem sa laog nin trynta y tres na taon,ang anim na ito ay ipinanganak sa kanya sa hebron at siyay naghari sa loob ng pitong taon at anim na buwan sa jerusalem at naghari siya ng tatlumput tatlong taon
nagkaigwa siya duman nin dakul na aki ki batsheba na aking babae ni ammiel nagkaigwa siya nin apat na aking lalaki na iyo si simea sobab natan asin solomon,ito ang mga ipinanganak sa kanya sa jerusalem sina shimea sobab natan at solomon apat kay batsua na anak na babae ni amiel,nagkaigwa siya duman nin dakul na aki ki batsheba na aking babae ni ammiel nagkaigwa siya nin apat na aking lalaki na iyo si si siimea sobab natan as solomon,ang mga anak ni batseba na anak na babae ni amiel ay sina shimea sobab natan at solomon
nagkaigwa pa siya nin siyam na aking lalaki na iyo si ibhar elisua elpelet,at sina ibhar elisama elifelet,nagkaigwa pa siya nin siyam na aking lalaki na iyo si ibhar elisua elpelet,ito ang mga anak ni ibhar na kanyang anak si elisua na kanyang anak si elpelet
