Book,Chapter,Verse,Source (Yami),Source (Cleaned),Translation (Tagalog),Reference (Tagalog),Reference (Cleaned),BLEU
Luke,22,45,"Teyka meynozi am meytatanek si Yeso a mangay do macinanao jya. Makaranes jira am macita na sira meycyaititkeh, ta mapoo sira do kapakanakem da so yaomanam a alalaw ni Yeso.",teyka meynozi am meytatanek si yeso a mangay do macinanao jya makaranes jira am macita na sira meycyaititkeh ta mapoo sira do kapakanakem da so yaomanam a alalaw ni yeso,at nagtindig siya mula sa kaniyang panalangin at lumapit sa mga alagad at nakita niyang silay nangatutulog at nangatutulog dahil sa hirap,"At nang magtindig siya sa kaniyang pananalangin, ay lumapit siya sa mga alagad, at naratnan silang nangatutulog dahil sa hapis,",at nang magtindig siya sa kaniyang pananalangin ay lumapit siya sa mga alagad at naratnan silang nangatutulog dahil sa hapis,18.728674627858762
Matthew,21,15,"Macita da si Yeso no panipanirsirngen no mapatanatanang so nakem da si Ama ta do to a kano mangnanao no iwawalam ni Ama ta do to a nimapeyvazay so aro a mapeyzokab a vazay a kapakamizing da pa so aro a kanakan a amlololos do rako a panaralayan a manci no, “Inaoy si omaing o admadmay do sivovoong ni Tawey!” Mamizing da ori am ori o nipeyoyaoya da.",macita da si yeso no panipanirsirngen no mapatanatanang so nakem da si ama ta do to a kano mangnanao no iwawalam ni ama ta do to a nimapeyvazay so aro a mapeyzokab a vazay a kapakamizing da pa so aro a kanakan a amlololos do rako a panaralayan a manci no inaoy si omaing o admadmay do sivovoong ni tawey mamizing da ori am ori o nipeyoyaoya da,datapuwat nang makita ng mga pangulong saserdote at ng mga eskriba ang mga kababalaghan na kaniyang ginawa at ang mga batang nagsisigawan sa templo na nangagsasabi hosana sa anak ni david ay nangagtaka sila,"Datapuwa't nang makita ng mga pangulong saserdote at ng mga eskriba ang mga katakatakang bagay na kaniyang ginawa, at ang mga batang nagsisigawan sa templo at nangagsasabi, Hosana sa Anak ni David; ay nangagalit sila,",datapuwat nang makita ng mga pangulong saserdote at ng mga eskriba ang mga katakatakang bagay na kaniyang ginawa at ang mga batang nagsisigawan sa templo at nangagsasabi hosana sa anak ni david ay nangagalit sila,76.1885133263202
Acts,8,15,Makaranes sira dang am ipeynozi da sira o omanoyong rana ji Yeso a keyyan na jira no Seyzi.,makaranes sira dang am ipeynozi da sira o omanoyong rana ji yeso a keyyan na jira no seyzi,nang silay makarating doon ay nanalangin sila para sa kanila at binigyan sila ng espiritu santo,"Ang dalawa ay bumaba at ipinanalangin sila upang kanilang tanggapin ang Espiritu Santo,",ang dalawa ay bumaba at ipinanalangin sila upang kanilang tanggapin ang espiritu santo,6.150343144231885
Romans,5,2,"O ta ikakman sang sicyaikwaya am pangangarilawan na ni Ama ta do to, do ta kapeyhanhan ni Kizisto. Am ori o ikasaray ta, ta katenngan ta o kahap na jyaten ni Ama ta do to do teyngato a macikasaray do azwazway na.",o ta ikakman sang sicyaikwaya am pangangarilawan na ni ama ta do to do ta kapeyhanhan ni kizisto am ori o ikasaray ta ta katenngan ta o kahap na jyaten ni ama ta do to do teyngato a macikasaray do azwazway na,at sa pamamagitan ni cristo na ating kinalulugdan sa pamamagitan ng biyaya ng diyos na ating kinalulugdan sa kaluwalhatian ng ating ama,"Sa pamamagitan niya'y nakalapit tayo sa biyayang ito na ating pinaninindigan, at nagagalak tayo sa pag-asa ng kaluwalhatian ng Diyos.",sa pamamagitan niyay nakalapit tayo sa biyayang ito na ating pinaninindigan at nagagalak tayo sa pagasa ng kaluwalhatian ng diyos,7.481424186273336
Acts,8,12,Ipeylimwang na ni Veydipo o Mapasaray a Ciriciring na ni Ama ta do to a omagaz do italamozong na kano ngaran ni Yeso Kizisto am anoyngan da no nimyan dang a mahahakay a kano mavavakes kataktak da jira.,ipeylimwang na ni veydipo o mapasaray a ciriciring na ni ama ta do to a omagaz do italamozong na kano ngaran ni yeso kizisto am anoyngan da no nimyan dang a mahahakay a kano mavavakes kataktak da jira,at naniwala sila nang ipinangaral ni felipe ang ebanghelyo ng kaharian ng diyos at ang pangalan ni jesucristo at nabautismuhan silang lahat lalaki at babae,"Ngunit nang naniwala sila kay Felipe na nangangaral ng mabuting balita tungkol sa kaharian ng Diyos at sa pangalan ni Jesu-Cristo, sila ay nabautismuhan, mga lalaki at mga babae.",ngunit nang naniwala sila kay felipe na nangangaral ng mabuting balita tungkol sa kaharian ng diyos at sa pangalan ni jesucristo sila ay nabautismuhan mga lalaki at mga babae,15.542549544776186
Mark,14,41,"Ipitlo si Yeso a mangay jira am maniring jira am, “Yakamo pa mitkeh? Cyana, manga ovay. Ta yarana makeykai o Nipamnekan na ni Ama ta do to a tao a ipanazang da do meyraraten a tao.",ipitlo si yeso a mangay jira am maniring jira am yakamo pa mitkeh cyana manga ovay ta yarana makeykai o nipamnekan na ni ama ta do to a tao a ipanazang da do meyraraten a tao,lumapit siya sa kanila sa ikatlong pagkakataon at sinabi sa kanila kakaunti na ang panahon at ang panahon narito ang anak ng tao ay ipinagkakanulo sa mga kamay ng mga makasalanan,"At lumapit siyang bilang ikatlo, at sinabi sa kanila, Mangatulog na kayo, at mangagpahinga: sukat na; dumating na ang oras; narito, ang Anak ng tao ay ipagkakanulo sa mga kamay ng mga makasalanan.",at lumapit siyang bilang ikatlo at sinabi sa kanila mangatulog na kayo at mangagpahinga sukat na dumating na ang oras narito ang anak ng tao ay ipagkakanulo sa mga kamay ng mga makasalanan,37.63009151920247
Matthew,17,23,a kawakwak da sya. Am ikatlo na araw am mirwa pa mavyay.” Mamizing da ori no macinanao jya am marahet sira so aktokto.,a kawakwak da sya am ikatlo na araw am mirwa pa mavyay mamizing da ori no macinanao jya am marahet sira so aktokto,at siyay kanilang papatayin at siyay muling mabubuhay sa ikatlong araw at silay nangagtaka,Siya'y papatayin nila ngunit siya'y muling mabubuhay sa ikatlong araw.” At sila'y labis na nalungkot.,siyay papatayin nila ngunit siyay muling mabubuhay sa ikatlong araw at silay labis na nalungkot,50.62586532254357
Revelation,20,11,Meyratateng am makacita ko so malavang a rako a lilisnan no panirsirngen a kano amlisna do dang. Ji rana cita o hanit a kano teyrahem a tomayo do tangain na.,meyratateng am makacita ko so malavang a rako a lilisnan no panirsirngen a kano amlisna do dang ji rana cita o hanit a kano teyrahem a tomayo do tangain na,pagkatapos ng mga bagay na ito ay nakita ko ang isang malaking trono at ang nakaupo doon at ang langit at ang lupa ay iniwan mula sa kanyang paningin,At nakita ko ang isang malaking tronong puti at ang nakaupo roon; ang lupa at ang langit ay tumakas sa kanyang harapan at walang natagpuang lugar para sa kanila.,at nakita ko ang isang malaking tronong puti at ang nakaupo roon ang lupa at ang langit ay tumakas sa kanyang harapan at walang natagpuang lugar para sa kanila,23.36893631298636
Philippians,2,28,Am ori o ko naknakman so kakeykai ko rana tomovoy sya do vahay da. So ikasasaray nyo a macikaop rana jya. So ikapyapya na rana no akman sang.,am ori o ko naknakman so kakeykai ko rana tomovoy sya do vahay da so ikasasaray nyo a macikaop rana jya so ikapyapya na rana no akman sang,kaya nga akoy lalong nagnanais na siyay suguin upang kayoy magmalaki sa kaniya,"Kaya't higit akong masigasig na suguin siya, upang, pagkakitang muli ninyo sa kanya, kayo'y magalak at mabawasan ang aking kalungkutan.",kayat higit akong masigasig na suguin siya upang pagkakitang muli ninyo sa kanya kayoy magalak at mabawasan ang aking kalungkutan,2.695984008681938
Luke,12,27,Citahen nyo pala o vonitan. Ta yaji meyvazay a yaji ninon so ayob na. Am ko pa ciring jinyo am apyapya pa o vonitan a citahen a kano mina aywayob na no meyngaran so Solomen a panirsirngen no kakwa.,citahen nyo pala o vonitan ta yaji meyvazay a yaji ninon so ayob na am ko pa ciring jinyo am apyapya pa o vonitan a citahen a kano mina aywayob na no meyngaran so solomen a panirsirngen no kakwa,tingnan ninyo ang mga tambo hindi sila nagsisigawa o nagsisigawa ng anoman subalit sinasabi ko sa inyo kahit si solomon man sa kaluwalhatian niya ay hindi nagsusuot ng isa sa mga ito,"Wariin ninyo ang mga lirio, kung paano silang nagsisilaki: hindi nangagpapagal, o nangagsusulid man; gayon ma'y sinasabi ko sa inyo, Kahit si Salomon man, sa buong kaluwalhatian niya, ay hindi nakapaggayak na gaya ng isa sa mga ito.",wariin ninyo ang mga lirio kung paano silang nagsisilaki hindi nangagpapagal o nangagsusulid man gayon may sinasabi ko sa inyo kahit si salomon man sa buong kaluwalhatian niya ay hindi nakapaggayak na gaya ng isa sa mga ito,32.26475346528906
Romans,13,10,O mangarilaw so icyatatao am ji mapeyvazay so marahet a vazay a. Ta o akman rana sang am manoyong rana makahap so nanao na ni Ama ta do to.,o mangarilaw so icyatatao am ji mapeyvazay so marahet a vazay a ta o akman rana sang am manoyong rana makahap so nanao na ni ama ta do to,ang pagibig ay hindi gumagawa ng masama sa kanyang kapwa sapagkat ang pagibig ay siyang ganap sa utos ng diyos,Ang pag-ibig ay hindi gumagawa ng masama sa kanyang kapwa; ang pag-ibig ang siyang katuparan ng kautusan.,ang pagibig ay hindi gumagawa ng masama sa kanyang kapwa ang pagibig ang siyang katuparan ng kautusan,50.9568718854327
Acts,27,13,No kano nang am nimehteng pa. Am ori o ningingitan namen so ipanenbong namen a mangay rana. Am to namen paninida o avang namen do Kedite a pongso.,no kano nang am nimehteng pa am ori o ningingitan namen so ipanenbong namen a mangay rana am to namen paninida o avang namen do kedite a pongso,nang silay nangagpasimulang maghugas ng mga bagay na ito ay naglayag kami at nagsitungo sa pulo ng creta,"Nang marahang humihip ang hanging habagat, na inakala nilang maisasagawa nila ang kanilang layunin; kaya itinaas nila ang angkla at namaybay sa baybayin ng Creta.",nang marahang humihip ang hanging habagat na inakala nilang maisasagawa nila ang kanilang layunin kaya itinaas nila ang angkla at namaybay sa baybayin ng creta,3.831685453817444
Matthew,7,21,"“O tomawag jyaken a tao a manci no, ‘Mo Panirsirngen, mo Panirsirngen,’ am jyamimin sira macikaop do italamozong ni Ama ta do to. Ta o mahap so nanao ni Ama ta do to o macikaop jya.",o tomawag jyaken a tao a manci no mo panirsirngen mo panirsirngen am jyamimin sira macikaop do italamozong ni ama ta do to ta o mahap so nanao ni ama ta do to o macikaop jya,hindi lahat ng nagsasabi sa akin panginoon panginoon ay magsisipasok sa kaharian ng langit kundi ang gumagawa ng kalooban ng aking ama,"“Hindi lahat ng nagsasabi sa akin ‘Panginoon, Panginoon,’ ay papasok sa kaharian ng langit, kundi ang gumaganap ng kalooban ng aking Ama na nasa langit.",hindi lahat ng nagsasabi sa akin panginoon panginoon ay papasok sa kaharian ng langit kundi ang gumaganap ng kalooban ng aking ama na nasa langit,64.4794822587256
Romans,4,23,Am beken a iyaha o peycirngan na so kabo no raraten na.,am beken a iyaha o peycirngan na so kabo no raraten na,subalit siyay hindi naging matuwid,"Ngayo'y hindi lamang dahil sa kanya isinulat ang salitang, “sa kanya'y ibinilang,”",ngayoy hindi lamang dahil sa kanya isinulat ang salitang sa kanyay ibinilang,2.6341919627252284
Luke,22,70,"Maniring sira o aro a tao am, “Anak na imo saon ni Ama ta do to?” Maniring si Yeso jira am, “O nipanci nyo rana am yamanoyong.”",maniring sira o aro a tao am anak na imo saon ni ama ta do to maniring si yeso jira am o nipanci nyo rana am yamanoyong,at sinabi nila sa kaniya ikaw nga ang anak ng dios at sinabi niya sa kanila ayon sa inyong sinasabi,"Sinabi nilang lahat, “Kung gayo'y ikaw ba ang Anak ng Diyos?” At sinabi niya sa kanila, “Kayo ang nagsasabi na ako nga.”",sinabi nilang lahat kung gayoy ikaw ba ang anak ng diyos at sinabi niya sa kanila kayo ang nagsasabi na ako nga,23.488364438274694
Romans,1,31,Sya akmey yabo so nakenakem. Da alalasan o mina ciring da. Yabo pangangarilawan da.,sya akmey yabo so nakenakem da alalasan o mina ciring da yabo pangangarilawan da,walang pagiisip walang pananalita walang pagibig,"mga hangal, mga hindi tapat sa kanilang mga pangako, hindi mapagmahal, mga walang awa.",mga hangal mga hindi tapat sa kanilang mga pangako hindi mapagmahal mga walang awa,2.139538333930869
Mark,15,17,"Meyratateng am payoben da si Yeso so akmey ayob no panirsirngen a kapamalikawag da so akmey tazici a pasakopen da jya,",meyratateng am payoben da si yeso so akmey ayob no panirsirngen a kapamalikawag da so akmey tazici a pasakopen da jya,at siyay kanilang binalot ng isang balabal na kulayube na may mga telang tulad ng mga kalapati at inilagay sa ibabaw niya,"At siya'y kanilang dinamtan ng kulay-ube, at nang makapagkamakama ng isang putong na tinik, ay ipinutong nila sa kaniya.",at siyay kanilang dinamtan ng kulayube at nang makapagkamakama ng isang putong na tinik ay ipinutong nila sa kaniya,9.614272376566879
Acts,11,25,Meyratateng am mangay rana si Parnapo do Tasose a komala si Sawlo.,meyratateng am mangay rana si parnapo do tasose a komala si sawlo,si bernabe ay pumunta sa tarso upang hanapin si saulo,At si Bernabe ay nagtungo sa Tarso upang hanapin si Saulo.,at si bernabe ay nagtungo sa tarso upang hanapin si saulo,59.54165059120785
John,6,68,"Maniring si Simong Pite am, “Mo Panirsirngen, imo saon na yanan no nanao no to meyyonong a ikavyay no pahad namen. Sino pa o pacilolwan namen.",maniring si simong pite am mo panirsirngen imo saon na yanan no nanao no to meyyonong a ikavyay no pahad namen sino pa o pacilolwan namen,sumagot sa kanya si simon pedro panginoon nasa iyo ang salita ng buhay na walang hanggan sino ang aming dadalhin,"Sinagot siya ni Simon Pedro, Panginoon, kanino kami magsisiparoon? ikaw ang may mga salita ng buhay na walang hanggan.",sinagot siya ni simon pedro panginoon kanino kami magsisiparoon ikaw ang may mga salita ng buhay na walang hanggan,30.82627646062185
Matthew,12,21,Mamimin o tao do karawan a manapet jya so pahad.”,mamimin o tao do karawan a manapet jya so pahad,at ang lahat ng mga bansa ay magsisipanggilalas sa kaniya,At aasa sa kaniyang pangalan ang mga Gentil.,at aasa sa kaniyang pangalan ang mga gentil,5.934202609760488
Luke,23,11,"Am ori rana o nipeyyaliliman da jya ni Helote a kano aro a itaysang do dang. So nipeymetdehan da sya, kapayob da jya so akmey ayob no panirsirngen, kangay da rana nya ji Pilato.",am ori rana o nipeyyaliliman da jya ni helote a kano aro a itaysang do dang so nipeymetdehan da sya kapayob da jya so akmey ayob no panirsirngen kangay da rana nya ji pilato,si herodes at ang mga kawal na kasama niya ay nagsitakas laban sa kanya at siyay binalot ng isang balabal na kulayube at dinala siya kay pilato,At hinamak siya at nilibak ni Herodes at ng mga kawal na kasama niya. Sinuotan siya ng maringal na damit at ibinalik kay Pilato.,at hinamak siya at nilibak ni herodes at ng mga kawal na kasama niya sinuotan siya ng maringal na damit at ibinalik kay pilato,18.598826516078386
1 Peter,4,5,"Am cyaha, ta mangay o kasazap da si Ama ta do to a yamapeykapyapinpin so mavyay a kano nimawakwak a tao.",am cyaha ta mangay o kasazap da si ama ta do to a yamapeykapyapinpin so mavyay a kano nimawakwak a tao,datapuwat silay magkakaharap sa kaniya na siyang hukom ng mga buháy at ng mga patay,Ngunit sila'y magbibigay-sulit sa kanya na handang humatol sa mga buháy at sa mga patay.,ngunit silay magbibigaysulit sa kanya na handang humatol sa mga buháy at sa mga patay,13.834368456410946
Matthew,24,40,Si marateng ori am o rarwa ka mahakay a amyan do nihakawan da am asa jira o ahapen ko. Asa o vezeden ko do dang.,si marateng ori am o rarwa ka mahakay a amyan do nihakawan da am asa jira o ahapen ko asa o vezeden ko do dang,magkakaroon ng dalawang tao sa bukid ang isay kukunin at ang isay iiwan,"Kung magkagayo'y sasa bukid ang dalawang lalake; ang isa'y kukunin, at ang isa'y iiwan:",kung magkagayoy sasa bukid ang dalawang lalake ang isay kukunin at ang isay iiwan,48.200999906567155
Acts,10,41,"a kapacihanghang namen jya koman no keypirwa na mavyay. Beken a mamimin o tao a nimakacita sya, ta yamen a nipamnekan ni Ama ta do to o nimakacita sya a meylimwang nya.",a kapacihanghang namen jya koman no keypirwa na mavyay beken a mamimin o tao a nimakacita sya ta yamen a nipamnekan ni ama ta do to o nimakacita sya a meylimwang nya,at kumain kami na kasama niya sa pagkabuhay na maguli hindi sa lahat kundi sa amin na itinalaga ng diyos bilang mga saksi,"hindi sa buong bayan, kundi sa amin na hinirang ng Diyos bilang mga saksi na kumain at uminom na kasalo niya, pagkatapos na siya'y mabuhay mula sa mga patay.",hindi sa buong bayan kundi sa amin na hinirang ng diyos bilang mga saksi na kumain at uminom na kasalo niya pagkatapos na siyay mabuhay mula sa mga patay,24.113673562405207
John,6,55,Ta o kataotao ko a kano rala ko am manoyong a kanen nyo am yopen nyo.,ta o kataotao ko a kano rala ko am manoyong a kanen nyo am yopen nyo,sapagkat ang aking laman ay tunay na pagkain at ang aking dugo ay tunay na inumin,"Sapagka't ang aking laman ay tunay na pagkain, at ang aking dugo ay tunay na inumin.",sapagkat ang aking laman ay tunay na pagkain at ang aking dugo ay tunay na inumin,100.00000000000004
Luke,7,31,"Maniring pa jira si Yeso am, “Ikongo o pehngehngayan ko so tao sicyakwaya.",maniring pa jira si yeso am ikongo o pehngehngayan ko so tao sicyakwaya,at sinabi niya sa kanila ano ang talinghaga na aking sasabihin sa lahing ito,“Sa ano ko nga ihahambing ang mga tao ng lahing ito at ano ang kanilang katulad?,sa ano ko nga ihahambing ang mga tao ng lahing ito at ano ang kanilang katulad,7.705829865251781
Luke,4,26,Am ji na novoya ni Ama ta do to si Idiya mangay do kadwan jira ang. Ta asa ka vao do Saleva a ili a macinapnap do Siton o nyangayan na.,am ji na novoya ni ama ta do to si idiya mangay do kadwan jira ang ta asa ka vao do saleva a ili a macinapnap do siton o nyangayan na,at hindi sinugo sa kanila si elias kundi sa isang ilang ng sarva sa silangan ng sidon,"Ngunit si Elias ay hindi sinugo sa kaninuman sa kanila, kundi sa isang babaing balo sa Zarefta, sa lupain ng Sidon.",ngunit si elias ay hindi sinugo sa kaninuman sa kanila kundi sa isang babaing balo sa zarefta sa lupain ng sidon,15.476966227177897
Matthew,17,10,"Karahan am pacicin da no macinanao jya si Yeso. Maniring sira am, “Ikongo da pancyan nya no yamangnanao no iwawalam na ni Ama ta do to o kapanmanma na mai ni Idiya.”",karahan am pacicin da no macinanao jya si yeso maniring sira am ikongo da pancyan nya no yamangnanao no iwawalam na ni ama ta do to o kapanmanma na mai ni idiya,at tinanong siya ng kaniyang mga alagad na nangagsasabi bakit sinasabi ng mga eskriba na kinakailangang dumating muna si elias,"Tinanong siya ng kanyang mga alagad, na nagsasabi, “Bakit kaya sinasabi ng mga eskriba na kailangang dumating muna si Elias?”",tinanong siya ng kanyang mga alagad na nagsasabi bakit kaya sinasabi ng mga eskriba na kailangang dumating muna si elias,42.22374352161797
Mark,9,1,“To ko na macitangayan jinyo am o yameytatanek do jya tao am amyan jira so makapis pa so azwazway na ni Ama ta do to a meygegcin do karawan do ikamavyay da pa.”,to ko na macitangayan jinyo am o yameytatanek do jya tao am amyan jira so makapis pa so azwazway na ni ama ta do to a meygegcin do karawan do ikamavyay da pa,katotohanang sinasabi ko sa inyo may ilan sa mga mananatili sa bahay na ito na hindi makakatayo sa kaharian ng diyos magpakailanman,"Sinabi niya sa kanila, “Katotohanang sinasabi ko sa inyo, may ilan sa nakatayo rito na hindi makakatikim ng kamatayan, hanggang sa makita nila ang kaharian ng Diyos na dumarating na may kapangyarihan.”",sinabi niya sa kanila katotohanang sinasabi ko sa inyo may ilan sa nakatayo rito na hindi makakatikim ng kamatayan hanggang sa makita nila ang kaharian ng diyos na dumarating na may kapangyarihan,26.82464795519861
Matthew,18,7,To sira makasi o tao do karawan a kalittan a meyraraten. O raraten no tao am kangay na ori. Am o tao a yapwan no kapeyraraten na am ney rako o oyaoyyan na no akman sang a tao ni Ama ta do to.,to sira makasi o tao do karawan a kalittan a meyraraten o raraten no tao am kangay na ori am o tao a yapwan no kapeyraraten na am ney rako o oyaoyyan na no akman sang a tao ni ama ta do to,sapagkat ang kadahilanan ng kasamaan ay lumalapit sa lahat ng mga tao datapuwat lalo pang hahatulan ang sinumang sinasaktan ng kasamaan,Kahabag-habag ang sanlibutan dahil sa mga batong katitisuran! Ang mga pangyayaring magbubunga ng pagkatisod ay tiyak na darating. Ngunit kahabag-habag ang taong pagmumulan ng batong katitisuran!,kahabaghabag ang sanlibutan dahil sa mga batong katitisuran ang mga pangyayaring magbubunga ng pagkatisod ay tiyak na darating ngunit kahabaghabag ang taong pagmumulan ng batong katitisuran,2.328129958087307
Matthew,27,6,"O panipanirsirngen no mapatanatanang so nakem da si Ama ta do to am peysinsinmowen da rana o nizpi. Maniring sira am, “Ngina no inawan na ya. Am ori o ji palovoci sya do kingking a itoro ji Ama ta do to, ta marahet.”",o panipanirsirngen no mapatanatanang so nakem da si ama ta do to am peysinsinmowen da rana o nizpi maniring sira am ngina no inawan na ya am ori o ji palovoci sya do kingking a itoro ji ama ta do to ta marahet,at kinuha ng mga pangulong saserdote ang mga pilak na sinasabi hindi matuwid na ibigay ito sa mga handog,"At kinuha ng mga pangulong saserdote ang mga putol na pilak, at sinabi, Hindi matuwid na ilagay ang pilak na iyan sa kabang-yaman, sapagka't halaga ng dugo.",at kinuha ng mga pangulong saserdote ang mga putol na pilak at sinabi hindi matuwid na ilagay ang pilak na iyan sa kabangyaman sapagkat halaga ng dugo,31.444119130934446
Acts,13,16,"Ori nipeytatanek ni Pawlo a mapatala so lima na. Maniring am, “Inyo rana Isedi a tao a ka ninyo a yamraralay ni Ama ta do to am amizngen nyo an.",ori nipeytatanek ni pawlo a mapatala so lima na maniring am inyo rana isedi a tao a ka ninyo a yamraralay ni ama ta do to am amizngen nyo an,at pagtindig ni pablo ay nagtindig at itinaas ang kaniyang kamay at sinabi mga lalaking tagaisrael at kayong lahat na natatakot sa dios makinig kayo,"Kaya't tumindig si Pablo at sa pagsenyas ng kanyang kamay ay nagsabi, “Mga lalaking Israelita, at kayong may takot sa Diyos, makinig kayo.",kayat tumindig si pablo at sa pagsenyas ng kanyang kamay ay nagsabi mga lalaking israelita at kayong may takot sa diyos makinig kayo,6.07128396953431
Luke,13,6,"Meyratateng am mangononong si Yeso so pehngehngayan na sya. Maniring am, “Amyan so asa ka tao a meymowa so ovako a kayo. Mownay am naknakmen na o kapeykala na so asi na am ji makakala.",meyratateng am mangononong si yeso so pehngehngayan na sya maniring am amyan so asa ka tao a meymowa so ovako a kayo mownay am naknakmen na o kapeykala na so asi na am ji makakala,at sinalita niya sa kanila ang talinghaga may isang tao na nagtanim ng isang puno ng igos na puno ng igos at siyay nagsiparoon upang hanapin kung ano ang bunga nito ngunit hindi niya natagpuan,"Isinalaysay niya ang talinghagang ito: “Ang isang tao ay may isang puno ng igos na nakatanim sa kanyang ubasan. Siya'y pumunta upang maghanap ng bunga roon, subalit walang nakita.",isinalaysay niya ang talinghagang ito ang isang tao ay may isang puno ng igos na nakatanim sa kanyang ubasan siyay pumunta upang maghanap ng bunga roon subalit walang nakita,14.631973332919772
Acts,6,4,Am yamen rana am kasazap namen so kapeynozi a meylimwang no ciriciring na ni Ama ta do to.”,am yamen rana am kasazap namen so kapeynozi a meylimwang no ciriciring na ni ama ta do to,datapuwat kami ay magpapatuloy sa pananalangin at sa pangangaral ng salita,"samantalang kami, bilang aming bahagi, ay mag-uukol ng aming sarili sa pananalangin at sa paglilingkod sa salita.”",samantalang kami bilang aming bahagi ay maguukol ng aming sarili sa pananalangin at sa paglilingkod sa salita,16.17115778869741
Mark,9,38,"Maniring si Yowani ji Yeso am, “Namen nimakacita mo Mangnanao, so yamamozwaw no ngaran mo so kalamsoyan ni Satan. Am ori o namen nyazan sya, ta iya rana am beken a kararay ta.”",maniring si yowani ji yeso am namen nimakacita mo mangnanao so yamamozwaw no ngaran mo so kalamsoyan ni satan am ori o namen nyazan sya ta iya rana am beken a kararay ta,at sinabi sa kaniya ni juan guro nakita namin ang isang tao na nagpapalayas ng mga demonio sa pangalan mo at pinagbawalan namin siya sapagkat hindi siya sumusunod sa amin,"Sinabi sa kaniya ni Juan, Guro, nakita namin ang isa na sa pangalan mo'y nagpapalabas ng mga demonio; at pinagbawalan namin siya, sapagka't hindi sumusunod sa atin.",sinabi sa kaniya ni juan guro nakita namin ang isa na sa pangalan moy nagpapalabas ng mga demonio at pinagbawalan namin siya sapagkat hindi sumusunod sa atin,50.33729410146525
John,20,4,Sira rana ori a rarwa am meyheza sira malalayo. Am magzagza pa o asa kani Pite. So nipanmanma na makaranes do heseb ni Yeso.,sira rana ori a rarwa am meyheza sira malalayo am magzagza pa o asa kani pite so nipanmanma na makaranes do heseb ni yeso,at silay naglakad sa malayo ang isa ay mas malayo kay sa kay pedro at siyay una sa kanila hanggang sa dumating sa libingan,"Silang dalawa'y tumakbong magkasama, subalit ang isang alagad ay mas matuling tumakbo kaysa kay Pedro, at naunang dumating sa libingan.",silang dalaway tumakbong magkasama subalit ang isang alagad ay mas matuling tumakbo kaysa kay pedro at naunang dumating sa libingan,11.525449313283318
2 Timothy,3,9,So ikanoyong no vazay da abo so angangayan. Ta meytotwaw rana o karatan da do tangain no aro a tao akman si Yanayse a kani Yangpole.,so ikanoyong no vazay da abo so angangayan ta meytotwaw rana o karatan da do tangain no aro a tao akman si yanayse a kani yangpole,at ang kanilang mga gawa ay magiging matuwid at walang kabuluhan sapagkat silay magiging patotoo sa lahat ng mga tao na gaya rin ng ginawa ni janes at ni jambres,"Ngunit sila'y hindi magpapatuloy, sapagkat mahahayag sa lahat ng mga tao ang kanilang kahangalan, gaya ng nangyari sa mga lalaking iyon.",ngunit silay hindi magpapatuloy sapagkat mahahayag sa lahat ng mga tao ang kanilang kahangalan gaya ng nangyari sa mga lalaking iyon,15.295559337528834
John,12,8,Yamasangib sira o makasi a tao a yamacikaop jinyo. Am yaken am yalikey rana ipacikaop ko jinyo.”,yamasangib sira o makasi a tao a yamacikaop jinyo am yaken am yalikey rana ipacikaop ko jinyo,sapagkat lagi ninyong kasama ang mga dukha subalit akoy hindi laging kasama ninyo,Sapagkat ang mga dukha ay laging nasa inyo; ngunit ako'y hindi laging nasa inyo.”,sapagkat ang mga dukha ay laging nasa inyo ngunit akoy hindi laging nasa inyo,18.61028050495244
Luke,6,41,“Ikongo nyo pacivalalan do da karatan no kadwan jinyo a yanyo kaji makalavatan so nyo karatan.,ikongo nyo pacivalalan do da karatan no kadwan jinyo a yanyo kaji makalavatan so nyo karatan,at bakit mo sinasaksihan ang mga kasalanan ng iyong kapuwa at hindi mo nakikita ang iyong sariling mga kasalanan,"Bakit mo nakikita ang puwing na nasa mata ng iyong kapatid, ngunit hindi mo napupuna ang troso na nasa iyong sariling mata?",bakit mo nakikita ang puwing na nasa mata ng iyong kapatid ngunit hindi mo napupuna ang troso na nasa iyong sariling mata,11.719441608324844
2 Corinthians,4,6,O nimangamaog no ciring na so zezak a Tao do to am ori o amzezak so masyonowned ta. Ori o ta ipakateneng do azwazway na ni Ama ta do to amyan ji Yeso Kizisto.,o nimangamaog no ciring na so zezak a tao do to am ori o amzezak so masyonowned ta ori o ta ipakateneng do azwazway na ni ama ta do to amyan ji yeso kizisto,at sa pamamagitan ng liwanag ay lumiliwanag ang liwanag ng diyos sa ating mga pagiisip ng kaluwalhatian ng diyos na nasa kanyang mukha si jesucristo,"Sapagkat ang Diyos ang nagsabi, “Magningning ang ilaw sa kadiliman,” na siyang tumatanglaw sa aming mga puso upang magbigay-liwanag sa pagkakilala sa kaluwalhatian ng Diyos sa mukha ni Jesu-Cristo.",sapagkat ang diyos ang nagsabi magningning ang ilaw sa kadiliman na siyang tumatanglaw sa aming mga puso upang magbigayliwanag sa pagkakilala sa kaluwalhatian ng diyos sa mukha ni jesucristo,8.700935035486983
