Book,Chapter,Verse,Source (Pangasinan),Source (Cleaned),Pivot (Bikolano),Translation (Tagalog),Reference (Tagalog),Reference (Cleaned),BLEU
2 Chronicles,12,7,"Nen anengneng na Katawan so impanpaabeba ra, akisalita lamet ed kinen Semaya tan kuantod sikato, “Lapud binirbir dan nankasalanan ira, ag ko ra pateyen. Balet no ondogpay Sisak, ngalngalin ag ira mambilay. Ag ondapod Jerusalem so intiron petang na olok.",nen anengneng na katawan so impanpaabeba ra akisalita lamet ed kinen semaya tan kuantod sikato lapud binirbir dan nankasalanan ira ag ko ra pateyen balet no ondogpay sisak ngalngalin ag ira mambilay ag ondapod jerusalem so intiron petang na olok,kan mahiling nin kagurangnan na nagpakumbaba sinda nagtaram giraray siya ki semaias asin nagsabi huli ta nakumpisal sinda kan saindang kasalan dai ko sinda gagadanon alagad kun salakayon sinda ni sisak dai sinda mabubuhay dai mapadara sa jerusalem an bilog kong kaanggotan,nang makita ng panginoon na silay nagpakumbaba ang panginoon ay nagsalita kay shemaya na sinasabi sapagkat kanilang ipinahayag ang kanilang kasamaan hindi ko sila papatayin ngunit kung si shishac ay lumaban sa kanila hindi sila mabubuhay at ang aking poot ay hindi darating sa jerusalem,"Nang makita ng Panginoon na sila'y nagpakumbaba, ang salita ng Panginoon ay dumating kay Shemaya: “Sila'y nagpakumbaba; hindi ko sila pupuksain, kundi bibigyan ko sila ng ilang pagliligtas, at ang aking poot ay hindi mabubuhos sa Jerusalem sa pamamagitan ng kamay ni Shishac.",nang makita ng panginoon na silay nagpakumbaba ang salita ng panginoon ay dumating kay shemaya silay nagpakumbaba hindi ko sila pupuksain kundi bibigyan ko sila ng ilang pagliligtas at ang aking poot ay hindi mabubuhos sa jerusalem sa pamamagitan ng kamay ni shishac,32.294643989189154
Psalms,81,9,Nepeg ya ag kayo mangigalang ed sananey a dios.,nepeg ya ag kayo mangigalang ed sananey a dios,dai kamo magsamba sa ibang dios,huwag kang sasamba sa ibang mga diyos,Hindi magkakaroon ng ibang diyos sa inyo; at huwag kang yuyukod sa ibang diyos.,hindi magkakaroon ng ibang diyos sa inyo at huwag kang yuyukod sa ibang diyos,7.225421712861796
John,2,2,"Akibansal si Jesus tan saray disipulo to, ta naimbitaan met ira.",akibansal si jesus tan saray disipulo to ta naimbitaan met ira,inalok man si jesus asin an saiyang mga disipulo,at inanyayahan din si jesus at ang kaniyang mga alagad,"At inanyayahan din naman si Jesus, at ang kaniyang mga alagad, sa kasalan.",at inanyayahan din naman si jesus at ang kaniyang mga alagad sa kasalan,58.20085014756565
Mark,16,12,"Kasumpal to ya, pinmanengneng si Jesus diad nidoman nengneng ed saray duaran disipulo nen wala rad dalan a mamaarap ed bario.",kasumpal to ya pinmanengneng si jesus diad nidoman nengneng ed saray duaran disipulo nen wala rad dalan a mamaarap ed bario,pakatapos kaini nagpahiling si jesus sa ibang porma sa duwang disipulo na pasiring sa oma,pagkatapos ng mga bagay na ito ay nagpakita siya sa ibang anyo sa dalawa sa kanila na nagdaraan sa bukid,Pagkatapos ng mga ito ay nagpakita siya sa ibang anyo sa dalawa sa kanila noong sila'y naglalakad patungo sa bukid.,pagkatapos ng mga ito ay nagpakita siya sa ibang anyo sa dalawa sa kanila noong silay naglalakad patungo sa bukid,61.50523394042868
Numbers,24,18,"Dakepen to ray kalaban tod Edom, Tan kayaryanen toy dalin da, Legan a mamataloy Israel.",dakepen to ray kalaban tod edom tan kayaryanen toy dalin da legan a mamataloy israel,sasakopon niya an saiyang mga kaiwal sa edom asin sasadirihon an saindang daga mantang dinaog niya an israel,kanyang ibibigay ang kanyang mga kaaway sa edom at kanyang aangkinin ang kanilang lupain sa harapan ng israel,"Ang Edom ay sasamsaman, ang Seir na kanyang mga kaaway ay sasamsaman rin, samantalang ang Israel ay nagpapakatapang.",ang edom ay sasamsaman ang seir na kanyang mga kaaway ay sasamsaman rin samantalang ang israel ay nagpapakatapang,9.880782578056978
Proverbs,5,4,"Balet kayariy pikaloguran mod sikato, kapaitan tan sulit labat so nasagmakan mo.",balet kayariy pikaloguran mod sikato kapaitan tan sulit labat so nasagmakan mo,alagad kun makidorog ka saiya magigin mapait an saimong kapagalan,ngunit kung ikaw ay sumiping sa kanya ang iyong kapaitan ay magiging mapait,"ngunit mapait na gaya ng halamang lason sa bandang wakas, tabak na may dalawang talim ang siyang kasintalas.",ngunit mapait na gaya ng halamang lason sa bandang wakas tabak na may dalawang talim ang siyang kasintalas,2.9737492414477473
Exodus,27,19,Amin a kagawaan ya ikanad dalem na Tulda tan amin a palpal na Tulda tan saray palpal na pinagkaalar et nepeg a gansa ra.,amin a kagawaan ya ikanad dalem na tulda tan amin a palpal na tulda tan saray palpal na pinagkaalar et nepeg a gansa ra,an gabos na kagamitan sa laog kan tabernakulo asin an gabos na palo kan tabernakulo patin kan patyo gigibohon nindo sa bronse,lahat ng mga kasangkapan ng tabernakulo at lahat ng mga tulos ng tabernakulo at ng bulwagan ay bakal,"Lahat ng mga kasangkapan ng tabernakulo, sa bawat paglilingkod doon, at lahat ng mga tulos niyon, at lahat ng mga tulos ng bulwagan ay tanso.",lahat ng mga kasangkapan ng tabernakulo sa bawat paglilingkod doon at lahat ng mga tulos niyon at lahat ng mga tulos ng bulwagan ay tanso,41.54782383926569
John,10,5,"Ag ira ontombuk ed sananey; ibatikan da ni ingen, ta ag da kabat so bosis da ray arum.”",ag ira ontombuk ed sananey ibatikan da ni ingen ta ag da kabat so bosis da ray arum,dai sinda minasunod sa dayuhan kundi minadulag sa saiya huli ta dai ninda midbid an tingog kan dayuhan,hindi sila sumusunod sa iba kundi tatakas sa kanya sapagkat hindi nila nakikilala ang tinig ng iba,"Ngunit hindi sila susunod kailanman sa iba, kundi lalayo sila sa kanya, sapagkat hindi nila kilala ang tinig ng iba.”",ngunit hindi sila susunod kailanman sa iba kundi lalayo sila sa kanya sapagkat hindi nila kilala ang tinig ng iba,38.41606546656311
Acts,2,26,"Lapud saya, nanggayagay pusok tan nanlikeliket so dilak; tan anggan too ak labat ya ompatey, mabiskeg so panilalok,",lapud saya nanggayagay pusok tan nanlikeliket so dilak tan anggan too ak labat ya ompatey mabiskeg so panilalok,kaya an puso ko nagoogma an sakuyang dila nagoogma maski ako tawo man sana an magadan igwa nin paglaom,kayat ang aking puso ay nagalak at ang aking dila ay nagalak bagamat akoy isang tao ako man ay may pagasa,"kaya't nagalak ang aking puso, at natuwa ang aking dila; gayundin ang aking katawan ay mananatiling may pag-asa.",kayat nagalak ang aking puso at natuwa ang aking dila gayundin ang aking katawan ay mananatiling may pagasa,14.296145628396559
Proverbs,20,19,Say managtalabutob ag balut makaamut. Arawian mo ray totoon mapalalon malabir.,say managtalabutob ag balut makaamut arawian mo ray totoon mapalalon malabir,an parahula dai nanggad makakapagtago maglikay ka sa mga tawong hugakon,ang manghuhula ay hindi makakapagtago magingat ka sa mga manghuhula,Ang naghahatid ng tsismis ay naghahayag ng mga lihim; kaya't ang nagsasalita ng kahangalan ay huwag mong kasamahin.,ang naghahatid ng tsismis ay naghahayag ng mga lihim kayat ang nagsasalita ng kahangalan ay huwag mong kasamahin,2.481373275521031
Luke,1,45,"Agaylay liket mo, ta manisia kan nasumpal so impaibagad sikay Katawan!”",agaylay liket mo ta manisia kan nasumpal so impaibagad sikay katawan,paladan ka huli ta nagtubod ka na mangyayari an sinabi saimo nin kagurangnan,at mapalad ang sumampalataya na mangyayari ang mga bagay na sinalita sa kaniya ng panginoon,Mapalad ang babaing sumampalataya na matutupad ang mga bagay na sinabi sa kanya ng Panginoon.”,mapalad ang babaing sumampalataya na matutupad ang mga bagay na sinabi sa kanya ng panginoon,25.194602426298164
Deuteronomy,29,10,"“Natad sayan agew amin yo et manalalagey ed arap na Katawan a Dios yo—saray pangulo yo tan saray opisyal yo, saray lalaki yo,",natad sayan agew amin yo et manalalagey ed arap na katawan a dios yosaray pangulo yo tan saray opisyal yo saray lalaki yo,ngunyan na aldaw kamo gabos nagtitindog sa atubang nin kagurangnan na saindong dios an saindong mga lider mga opisyal asin mga ginikanan,kayoy nakatayo sa araw na ito sa harapan ng panginoon ninyong diyos ang inyong mga pinuno mga pinuno at ang inyong mga ninuno,"“Kayong lahat ay nakatayo sa araw na ito sa harapan ng Panginoon ninyong Diyos; ang inyong mga puno, ang inyong mga lipi, ang inyong matatanda, at ang inyong mga pinuno, lahat ng mga lalaki sa Israel,",kayong lahat ay nakatayo sa araw na ito sa harapan ng panginoon ninyong diyos ang inyong mga puno ang inyong mga lipi ang inyong matatanda at ang inyong mga pinuno lahat ng mga lalaki sa israel,42.46759198787624
Joshua,7,26,Tinabunan day ankakabaleg a bato si Acan; wadman ni ra yan bato ya anggad natan. Sikato yay makasengeg a sayan pasen et atawag na Patar na Gunigon. Lapud sayan agawa kinmepa so mapalalon pasnuk na Katawan .,tinabunan day ankakabaleg a bato si acan wadman ni ra yan bato ya anggad natan sikato yay makasengeg a sayan pasen et atawag na patar na gunigon lapud sayan agawa kinmepa so mapalalon pasnuk na katawan ,pinatos ninda si acan nin sarong dakulang gapo sagkod ngunyan yaon pa duman an mga gapo kaya an lugar inapod kapantayan nin kasakitan huli kaini naontok an labilabing kaanggotan nin kagurangnan ,kanilang binalot si acan ng isang malaking bato at ang mga bato ay naroon hanggang sa araw na ito kayat tinawag ang pangalan ng lugar na iyon na libis ng kaguluhan kayat ang poot ng panginoon ay huminto,"Kanilang binuntunan siya ng mataas na bunton ng mga bato hanggang sa araw na ito; at ang Panginoon ay tumalikod sa bangis ng kanyang galit. Kaya't ang pangalan ng dakong iyon ay tinawag na Libis ng Acor, hanggang sa araw na ito.",kanilang binuntunan siya ng mataas na bunton ng mga bato hanggang sa araw na ito at ang panginoon ay tumalikod sa bangis ng kanyang galit kayat ang pangalan ng dakong iyon ay tinawag na libis ng acor hanggang sa araw na ito,18.258964263014153
1 Kings,15,14,"Nansiansian matoor ed Katawan si Asa legan na impanbilay to, anggan ag to dineral ya amin iray paganon pasen a panangigalangan.",nansiansian matoor ed katawan si asa legan na impanbilay to anggan ag to dineral ya amin iray paganon pasen a panangigalangan,maski dai niya ginaba an gabos na paganong mga lugar na pagsasambahan nagdanay siyang maimbod sa kagurangnan sa bilog niyang pagkabuhay,gayunmay hindi inalis ang matataas na dako ngunit siyay tapat sa panginoon sa lahat ng kanyang mga araw,Ngunit ang matataas na dako ay hindi inalis; gayunma'y ang puso ni Asa ay tapat sa Panginoon sa lahat ng kanyang mga araw.,ngunit ang matataas na dako ay hindi inalis gayunmay ang puso ni asa ay tapat sa panginoon sa lahat ng kanyang mga araw,48.991660117728046
1 Corinthians,12,3,"Kanyan labay kon naamtaan yo ya anggapoy toon iwawanwan na Ispiritu na Dios a makapangikuan, “Naayew si Jesus!” Ag met nikuan na siopaman a toon ag iwawanwan na Ispiritu Santo, “Katawan si Jesus.”",kanyan labay kon naamtaan yo ya anggapoy toon iwawanwan na ispiritu na dios a makapangikuan naayew si jesus ag met nikuan na siopaman a toon ag iwawanwan na ispiritu santo katawan si jesus,kaya boot kong maaraman nindo na mayong tawong pinapangyari kan espiritu nin dios na makakasabi maldisyonon si jesus mayo man nin siisay man na dai pinapangyari kan espiritu santo na makasabi si jesus iyo an kagurangnan,kayat ibig kong malaman ninyo na walang sinumang nagsasalita sa pamamagitan ng espiritu ng diyos ay nagsasabi sumpain si jesus at walang sinumang nagsasabi panginoon si jesus maliban sa pamamagitan ng espiritu santo,"Kaya't nais kong maunawaan ninyo na walang nagsasalita sa pamamagitan ng Espiritu ng Diyos na nagsasabi, “Sumpain si Jesus!” at walang makapagsasabi, “Si Jesus ay Panginoon,” maliban sa pamamagitan ng Espiritu Santo.",kayat nais kong maunawaan ninyo na walang nagsasalita sa pamamagitan ng espiritu ng diyos na nagsasabi sumpain si jesus at walang makapagsasabi si jesus ay panginoon maliban sa pamamagitan ng espiritu santo,52.477507612723976
Deuteronomy,8,16,"Diad kalawakan initdan to kayo na mana a kinan yo, say kakanen ya ag balut atawayan na saray lalaki yo. Initdan to kayo na saray kairapan a panubok tod sikayo, pian diad kaonuran nabindisionan to kayo na saray maabig a bengatla.",diad kalawakan initdan to kayo na mana a kinan yo say kakanen ya ag balut atawayan na saray lalaki yo initdan to kayo na saray kairapan a panubok tod sikayo pian diad kaonuran nabindisionan to kayo na saray maabig a bengatla,sa kalangtadan tinawan niya kamo nin manna tanganing kakanon nindo an pagkakan na dai pa nadangog kan saindong mga ginikanan tinawan niya kamo nin mga kasakitan tanganing baloon kamo asin sa kataposan bendisyonan nin mga marahay na bagay,na siyang nagbigay sa iyo ng manna sa ilang upang kumain ka ng tinapay na hindi pa narinig ng iyong mga ninuno na siyang gumawa sa iyo ng kasamaan upang subukin ka at sa katapusan ay pagpapalain ka ng mabuti,"na siyang nagpakain sa iyo ng manna sa ilang, na hindi nakilala ng iyong mga ninuno; upang kanyang papagkumbabain at subukin ka, at gawan ka ng mabuti sa bandang huli.",na siyang nagpakain sa iyo ng manna sa ilang na hindi nakilala ng iyong mga ninuno upang kanyang papagkumbabain at subukin ka at gawan ka ng mabuti sa bandang huli,25.89093258791443
John,11,4,"Balet nen nadngelan ya nen Jesus, inkuanto, “Aliwan patey so pansumpalan to yan sakit nen Lazaro. Agawa yan pakagalangay Dios, pian nitanduroy Anak na Dios.”",balet nen nadngelan ya nen jesus inkuanto aliwan patey so pansumpalan to yan sakit nen lazaro agawa yan pakagalangay dios pian nitanduroy anak na dios,kan madangog ini ni jesus nagsabi siya an helang na ini dai magigin dahelan nin kagadanan huli ta mangyayari ini sa kamurawayan nin dios tanganing an aki nin dios mapamuraway,nang marinig ito ni jesus ay sinabi niya ang sakit na ito ay hindi sa kamatayan kundi para sa kaluwalhatian ng diyos upang ang anak ng diyos ay luwalhatiin,"Nguni't pagkarinig ni Jesus nito, ay sinabi niya, Ang sakit na ito'y hindi sa ikamamatay, kundi sa ikaluluwalhati ng Dios, upang ang Anak ng Dios ay luwalhatiin sa pamamagitan niyaon.",ngunit pagkarinig ni jesus nito ay sinabi niya ang sakit na itoy hindi sa ikamamatay kundi sa ikaluluwalhati ng dios upang ang anak ng dios ay luwalhatiin sa pamamagitan niyaon,29.589690652565533
Daniel,2,14,"Insan linmay Daniel ed kinen Arioc, say pangulo da ray dilin umaantabay na ari, tan sikatoy niganggan a mamatey ed saray sumisimbawa na ari. Inapi-apiger toy impitongtong to,",insan linmay daniel ed kinen arioc say pangulo da ray dilin umaantabay na ari tan sikatoy niganggan a mamatey ed saray sumisimbawa na ari inapiapiger toy impitongtong to,dangan nagduman si daniel ki ariok an pamayo kan mga bantay kan hade na iyo an pinagbotan na gadanon an mga parahatol kan hade pinatindog niya an saiyang pagtaram,nang magkagayoy pumaroon si daniel kay arioc na pinuno ng bantay na siyang nagutos na patayin ang mga pantas ng hari at kanyang pinasimulan ang kanyang pananalita,"Nang magkagayo'y maingat at mahinahong sumagot si Daniel kay Arioc na punong-kawal ng bantay ng hari, na lumabas upang patayin ang mga pantas ng Babilonia.",nang magkagayoy maingat at mahinahong sumagot si daniel kay arioc na punongkawal ng bantay ng hari na lumabas upang patayin ang mga pantas ng babilonia,32.128549679729616
2 Kings,20,10,"Inmebat si Ezekias, “Mainomay a paonaen na samploran balitang so anino! Paseneren na samploran balitang so labay ko.”",inmebat si ezekias mainomay a paonaen na samploran balitang so anino paseneren na samploran balitang so labay ko,nagsimbag si ezekias mas pasil an paggibo nin sampolong tangga sa atubangan nin sarong anino asin an boot kong gibohon igwa nin sampolong tangga,at sumagot si hezekias sa hari ng juda ito ang mas madali sa akin na gumawa ng sampung hakbang sa harapan ng anino ngunit ang aking nais ay gumawa ng sampung hakbang,"Sumagot si Hezekias, “Isang madaling bagay sa anino na pasulungin ng sampung hakbang; sa halip, pabalikin ang anino ng sampung hakbang.”",sumagot si hezekias isang madaling bagay sa anino na pasulungin ng sampung hakbang sa halip pabalikin ang anino ng sampung hakbang,14.598686606404373
Hebrews,12,14,"Gawa yoy anggaay nayarian yo a mikaarod amin a too tan mampasanto kayo, ta no ag ya gawaen na siopaman, ag to nanengneng so Katawan.",gawa yoy anggaay nayarian yo a mikaarod amin a too tan mampasanto kayo ta no ag ya gawaen na siopaman ag to nanengneng so katawan,hingowahon nindong magkaigwa nin katoninongan sa gabos na tawo asin magin banal kamo huli ta kun dai kamo magin banal dai nanggad nin makakahiling sa kagurangnan,pagsikapan ninyong magkaroon ng kapayapaan sa lahat ng mga tao at ng kabanalan na kung walang ito ay walang sinumang makakakita ng panginoon,Pagsikapan ninyong magkaroon ng kapayapaan sa lahat at ng kabanalan na kung wala nito'y walang sinumang makakakita sa Panginoon.,pagsikapan ninyong magkaroon ng kapayapaan sa lahat at ng kabanalan na kung wala nitoy walang sinumang makakakita sa panginoon,46.997395980026965
Psalms,82,2,"“Tondaan yo lay pangiiter yoy sintinsian pikewet, tan tondaan yo lan pilaan iray totoon maoges.",tondaan yo lay pangiiter yoy sintinsian pikewet tan tondaan yo lan pilaan iray totoon maoges,ontoka an paghukom na may kapurisawan asin an pagduta sa mga tampalasan,alisin mo ang paghatol na may kahalayan at huwag mong hawakan ang masama,"“Hanggang kailan kayo hahatol ng di-makatarungan, at magpapakita ng pagsang-ayon sa masama? (Selah)",hanggang kailan kayo hahatol ng dimakatarungan at magpapakita ng pagsangayon sa masama selah,3.673526562988939
Mark,6,21,"Sinmabin siansiay pankanawnawa nen Herodias nen nantaryay Herodes ed inkianak to. Inimbitaan nen Herodes iray mambebembey ambelat iran betang ed gobirno, saray opisyal da ray sondalo, tan saray manonan totood Galilea.",sinmabin siansiay pankanawnawa nen herodias nen nantaryay herodes ed inkianak to inimbitaan nen herodes iray mambebembey ambelat iran betang ed gobirno saray opisyal da ray sondalo tan saray manonan totood galilea,nagkaigwa pa nin oportunidad si herodias kan pagselebrar ni herodes kan saiyang pagkamundag inalok ni herodes an mga opisyal kan gobyerno an mga opisyal kan hukbo asin an mga ginagalangan na tawo sa galilea,ngunit nang dumating ang isang pagkakataon kay herodias ipinagdiwang ni herodes ang kanyang kapanganakan ang mga pinuno ng hukbo at ang mga pangunahing tao sa galilea,"At nang sumapit ang isang kaukulang araw, na kapanganakan niya, ay ipinaghanda ni Herodes ng isang hapunan ang kaniyang mga maginoo, at mga mataas na kapitan, at mga pangulong lalake sa Galilea;",at nang sumapit ang isang kaukulang araw na kapanganakan niya ay ipinaghanda ni herodes ng isang hapunan ang kaniyang mga maginoo at mga mataas na kapitan at mga pangulong lalake sa galilea,4.820129905460201
Luke,9,51,"Nen asingger lay panaon a kiatagey nen Jesus ed tawen, ginetma toy onlan onla ed Jerusalem.",nen asingger lay panaon a kiatagey nen jesus ed tawen ginetma toy onlan onla ed jerusalem,kan madali na an panahon na iitaas si jesus sa langit nagisip siya na magduman sa jerusalem,nang malapit na ang mga araw ng pagtataas sa kanya sa langit itinuring niya ang kanyang sarili na siyay pupunta sa jerusalem,"Nang malapit na ang mga araw upang siya'y tanggapin sa itaas, itinutok niya ang kanyang sarili sa pagpunta sa Jerusalem.",nang malapit na ang mga araw upang siyay tanggapin sa itaas itinutok niya ang kanyang sarili sa pagpunta sa jerusalem,36.857838224116975
Psalms,44,11,Inabuloyan mon pinatas da kamin singa karniro; imbuybuyak mo kamid saray arum a bansa.,inabuloyan mon pinatas da kamin singa karniro imbuybuyak mo kamid saray arum a bansa,tinugotan mong gadanon kami siring sa mga karnero iwinarak mo kami sa mga nasyon,pinatay mo kami na gaya ng mga tupa iniladlad mo kami sa gitna ng mga bansa,"Ibinigay mo kami upang kainin na parang tupa, at ikinalat mo kami sa mga bansa.",ibinigay mo kami upang kainin na parang tupa at ikinalat mo kami sa mga bansa,14.247788801610149
Luke,18,14,"Kuankod sikayo a sayan too sinmempet ya apirdona ray kasalanan to; balet samay Pariseo, andi. Ta siopamay mampaatagey ed sikaton dili, napaabeba; siopamay mampaabebad sikaton dili, napaatagey.”",kuankod sikayo a sayan too sinmempet ya apirdona ray kasalanan to balet samay pariseo andi ta siopamay mampaatagey ed sikaton dili napaabeba siopamay mampaabebad sikaton dili napaatagey,sinasabihan ko kamo na an tawong ini nagduman sa saiyang harong na pinatawad an gabos niyang kasalan alagad bakong an siisay man na nagpapalangkaw ipapakumbaba an siisay man na nagpapakumbaba mapaabawabaw,sinasabi ko sa inyo na ang taong itoy pumasok sa kaniyang bahay na pinatatawad ang kaniyang lahat ng kaniyang mga kasalanan datapuwat sinomang magmamataas ay magpakumbaba at sinomang magpakumbaba ay magmamataas,"Sinasabi ko sa inyo, Nanaog at umuwi sa kaniyang bahay ang taong ito na inaaaring-ganap kay sa isa: sapagka't ang bawa't nagmamataas sa kaniyang sarili ay mabababa; datapuwa't ang nagpapakababa sa kaniyang sarili ay matataas.",sinasabi ko sa inyo nanaog at umuwi sa kaniyang bahay ang taong ito na inaaaringganap kay sa isa sapagkat ang bawat nagmamataas sa kaniyang sarili ay mabababa datapuwat ang nagpapakababa sa kaniyang sarili ay matataas,12.47046404405071
Luke,14,4,"Balet ag ira inmesel, kanyan binembenan nen Jesus imay mansasakit, pinaabig to, insan to la pinasempet.",balet ag ira inmesel kanyan binembenan nen jesus imay mansasakit pinaabig to insan to la pinasempet,alagad dai sinda naggirong kaya kinapotan ni jesus an naghehelang binolong dangan pinapuli,ngunit silay tumahimik kayat iniunat niya ang kanyang mga kamay sa lalaki at siyay pinagaling at siyay pinauwi,"Subalit sila'y hindi umimik. At siya'y hinawakan ni Jesus, pinagaling, at pinahayo.",subalit silay hindi umimik at siyay hinawakan ni jesus pinagaling at pinahayo,6.423094863383858
2 Samuel,18,6,Linmad kaalogan iray sondalo nen David tan nilabanan dad Takel na Efraim iray Israelita.,linmad kaalogan iray sondalo nen david tan nilabanan dad takel na efraim iray israelita,nagduman sa kaomahan an hukbo ni david asin linabanan an mga israelita sa kadlagan nin efraim,ang hukbo ni david ay lumabas sa parang at lumaban sa israel sa gubat ng efraim,Kaya't lumabas ang hukbo sa kaparangan laban sa Israel; at ang labanan ay naganap sa gubat ng Efraim.,kayat lumabas ang hukbo sa kaparangan laban sa israel at ang labanan ay naganap sa gubat ng efraim,20.204022516827063
Psalms,86,7,"Ontatawag ak ed sika no panaoy gunigon, lapud eebatan moy pikakasik.",ontatawag ak ed sika no panaoy gunigon lapud eebatan moy pikakasik,sa aldaw nin kasakitan minaapod ako saimo huli ta sinisimbag mo an sakong pamibi,sa araw ng aking kabagabagan ay tatawag ako sa iyo sapagkat sinasagot mo ang aking panalangin,Sa araw ng aking kaguluhan ay tumatawag ako sa iyo; sapagkat sinasagot mo ako.,sa araw ng aking kaguluhan ay tumatawag ako sa iyo sapagkat sinasagot mo ako,46.892438882117254
2 Samuel,8,1,"Ag abayag, dinogpaan lamet nen David iray Filisteo tan tinalo to ra, kanyan tinmonday pakaoley da ed saman a dalin.",ag abayag dinogpaan lamet nen david iray filisteo tan tinalo to ra kanyan tinmonday pakaoley da ed saman a dalin,dai nahaloy sinalakay giraray ni david an mga filisteo dinaog niya sinda kaya dai na sinda naghade sa daga,pagkatapos nito ay muling lumaban si david sa mga filisteo at pinuksa sila at ang mga filisteo ay hindi naghari pa sa lupain,"Pagkatapos nito, nilupig ni David ang mga Filisteo at pinasuko sila, at kinuha ni David ang Meteg-ama mula sa kamay ng mga Filisteo.",pagkatapos nito nilupig ni david ang mga filisteo at pinasuko sila at kinuha ni david ang metegama mula sa kamay ng mga filisteo,13.566979610140004
Mark,15,9,"tinepet tod sikara, “Labay yon ibolus kod sikayoy ari da ray Judio?”",tinepet tod sikara labay yon ibolus kod sikayoy ari da ray judio,hinapot sinda ni pablo boot nindong paluwason ko an hade kan mga judio,ngunit sumagot si pablo sa kanila ibig baga ninyong pawalan ko sa inyo ang hari ng mga judio,"Sinagot naman sila ni Pilato, “Ibig ba ninyong pawalan ko sa inyo ang Hari ng mga Judio?”",sinagot naman sila ni pilato ibig ba ninyong pawalan ko sa inyo ang hari ng mga judio,52.41705759002534
Revelation,14,3,"Mangakanta ra may sanlasus tan apataplo tan apat a libon totoo na sakey a balon kanta ed arap na trono, diad arap da ra may apatiran pinalsan mabilay tan saramay mamatakken. Anggapoy makaaral ed saman a kanta ra no ag sikara labat ya arondon ed tapew na dalin.",mangakanta ra may sanlasus tan apataplo tan apat a libon totoo na sakey a balon kanta ed arap na trono diad arap da ra may apatiran pinalsan mabilay tan saramay mamatakken anggapoy makaaral ed saman a kanta ra no ag sikara labat ya arondon ed tapew na dalin,an syento kwarenta y kwatro mil sa atubangan kan trono sa atubang kan apat na buhay na linalang asin kan mga kamagurangan nagaawit nin sarong bagong awit mayo nin siisay man na nakakatukdo kan awit na iyan kundi sinda sana an mga binakal hale sa daga,at silay umaawit ng isang bagong awit sa harapan ng trono at ng apat na nilalang na buháy at ng matatanda at walang makapagaral ng awit na iyon maliban sa mga binili mula sa lupa,"At sila'y nag-aawitan ng isang bagong awit sa harapan ng trono, at sa harapan ng apat na nilalang na buháy at ng matatanda. Walang sinumang natuto ng awit na iyon kundi ang isandaan at apatnapu't apat na libo lamang, na tinubos mula sa lupa.",at silay nagaawitan ng isang bagong awit sa harapan ng trono at sa harapan ng apat na nilalang na buháy at ng matatanda walang sinumang natuto ng awit na iyon kundi ang isandaan at apatnaput apat na libo lamang na tinubos mula sa lupa,45.13418539447481
Revelation,7,14,"“Ag ko amta,” ebat ko. “Sikayoy makaamta.” Inkuantod siak, “Sikara yay totoon akaliktar ed baleg a kairapan. Inorasan tan pinapoti ray kawes da ed dala na Kordiro.",ag ko amta ebat ko sikayoy makaamta inkuantod siak sikara yay totoon akaliktar ed baleg a kairapan inorasan tan pinapoti ray kawes da ed dala na kordiro,nagsimbag ako dai ko aram kamo an nakakaaram sinabihan niya ako iyo ini an mga tawong nakaligtas sa dakulang kasakitan hinugasan ninda an saindang mga gubing asin pinaputi sa dugo kan kordero,sinabi ko sa kanila sino ang nakakaalam at sinabi niya sa akin ito ang mga lumalabas sa malaking kapighatian hinugasan nila ang kanilang mga damit at pinaputi sila sa dugo ng kordero,"Sinabi ko sa kanya, “Ginoo, ikaw ang nakakaalam.” At sinabi niya sa akin, “Ang mga ito ang nanggaling sa malaking kapighatian, at naghugas ng kanilang mga damit at pinaputi ang mga ito sa dugo ng Kordero.",sinabi ko sa kanya ginoo ikaw ang nakakaalam at sinabi niya sa akin ang mga ito ang nanggaling sa malaking kapighatian at naghugas ng kanilang mga damit at pinaputi ang mga ito sa dugo ng kordero,41.324443833521016
1 Kings,4,29,"Initdan na Dios si Solomon na nidoma-doman kakabatan tan pakatalus, tan say karunongan ya ag natokur.",initdan na dios si solomon na nidomadoman kakabatan tan pakatalus tan say karunongan ya ag natokur,tinawan nin dios si solomon nin kadonongan asin pakasabot na dai masusukol,binigyan ng diyos si solomon ng di mabilang na karunungan at pangunawa,"Binigyan ng Diyos si Solomon ng karunungan, at ng di masukat na pang-unawa at kalawakan ng pag-iisip, gaya ng buhanging nasa tabing-dagat,",binigyan ng diyos si solomon ng karunungan at ng di masukat na pangunawa at kalawakan ng pagiisip gaya ng buhanging nasa tabingdagat,22.951010644538368
